match_id,team,player,total_passes_sent,total_passes_received,weighted_degree
3857267,Senegal,Nampalys Mendy,11,6,17
3857268,Belgium,Amadou Onana,18,19,37
3857268,Belgium,Axel Witsel,45,32,77
3857268,Belgium,Ikoma Loïs Openda,3,6,9
3857268,Belgium,Kevin De Bruyne,29,33,62
3857268,Belgium,Leander Dendoncker,73,67,140
3857268,Belgium,Leandro Trossard,11,14,25
3857268,Belgium,Michy Batshuayi Tunga,8,21,29
3857268,Belgium,Thomas Meunier,17,18,35
3857268,Belgium,Toby Alderweireld,69,66,135
3857268,Belgium,Eden Hazard,20,22,42
3857268,Belgium,Jan Vertonghen,55,62,117
3857268,Belgium,Thibaut Courtois,42,26,68
3857268,Belgium,Timothy Castagne,34,37,71
3857268,Belgium,Youri Tielemans,14,17,31
3857268,Belgium,Yannick Ferreira Carrasco,13,11,24
3857268,Canada,Alistair Johnston,46,36,82
3857268,Canada,Alphonso Davies,33,30,63
3857268,Canada,Atiba Hutchinson,27,24,51
3857268,Canada,Cyle Larin,9,16,25
3857268,Canada,David Junior Hoilett,6,9,15
3857268,Canada,Ismael Koné,30,30,60
3857268,Canada,Jonathan David,17,29,46
3857268,Canada,Jonathan Osorio,8,9,17
3857268,Canada,Milan Borjan,27,15,42
3857268,Canada,Richie Laryea,14,19,33
3857268,Canada,Stephen Antunes Eustáquio,58,55,113
3857268,Canada,Steven de Sousa Vitoria,44,40,84
3857268,Canada,Tajon Buchanan,18,30,48
3857268,Canada,Kamal Miller,39,35,74
3857268,Canada,Liam Millar,5,7,12
3857268,Canada,Sam Adekugbe,20,17,37
3857269,Brazil,Alex Nicolao Telles,10,6,16
3857269,Brazil,Alisson Ramsés Becker,11,8,19
3857269,Brazil,Bruno Guimarães Rodriguez Moura,20,23,43
3857269,Brazil,Carlos Henrique Casimiro,40,35,75
3857269,Brazil,Gabriel Fernando de Jesus,4,5,9
3857269,Brazil,Rodrygo Silva de Goes,21,23,44
3857269,Brazil,Thiago Emiliano da Silva,77,76,153
3857269,Brazil,Vinícius José Paixão de Oliveira Júnior,18,37,55
3857269,Brazil,Alex Sandro Lobo Silva,63,50,113
3857269,Brazil,Frederico Rodrigues Santos,23,25,48
3857269,Brazil,Lucas Tolentino Coelho de Lima,33,36,69
3857269,Brazil,Marcos Aoás Corrêa,92,81,173
3857269,Brazil,Raphael Dias Belloli,25,28,53
3857269,Brazil,Richarlison de Andrade,3,12,15
3857269,Brazil,Éder Gabriel Militão,56,51,107
3857269,Brazil,Antony Matheus dos Santos,11,11,22
3857269,Switzerland,Breel-Donald Embolo,8,17,25
3857269,Switzerland,Djibril Sow,19,18,37
3857269,Switzerland,Edimilson Fernandes,11,13,24
3857269,Switzerland,Fabian Rieder,9,14,23
3857269,Switzerland,Granit Xhaka,59,57,116
3857269,Switzerland,Nico Elvedi,67,62,129
3857269,Switzerland,Renato Steffen,12,9,21
3857269,Switzerland,Ruben Vargas,13,20,33
3857269,Switzerland,Manuel Obafemi Akanji,67,70,137
3857269,Switzerland,Remo Freuler,35,30,65
3857269,Switzerland,Silvan Widmer,35,44,79
3857269,Switzerland,Fabian Frei,2,4,6
3857269,Switzerland,Ricardo Iván Rodríguez Araya,41,33,74
3857269,Switzerland,Michel Aebischer,2,4,6
3857269,Switzerland,Yann Sommer,46,30,76
3857269,Switzerland,Haris Seferović,2,3,5
3857270,Portugal,Bernardo Mota Veiga de Carvalho e Silva,55,52,107
3857270,Portugal,Bruno Miguel Borges Fernandes,48,58,106
3857270,Portugal,Cristiano Ronaldo dos Santos Aveiro,30,40,70
3857270,Portugal,Diogo Meireles Costa,22,26,48
3857270,Portugal,Gonçalo Matias Ramos,5,5,10
3857270,Portugal,João Félix Sequeira,30,41,71
3857270,Portugal,João Pedro Cavaco Cancelo,51,45,96
3857270,Portugal,Kléper Laveran Lima Ferreira,51,43,94
3857270,Portugal,Nuno Mendes,30,28,58
3857270,Portugal,Rafael Alexandre Conceição Leão,8,11,19
3857270,Portugal,Raphaël Adelino José Guerreiro,24,19,43
3857270,Portugal,Rúben Diogo Da Silva Neves,44,43,87
3857270,Portugal,Rúben Santos Gato Alves Dias,57,48,105
3857270,Portugal,William Silva de Carvalho,59,55,114
3857270,Portugal,Matheus Luiz Nunes,4,5,9
3857270,Portugal,João Maria Lobo Alves Palhinha Gonçalves,7,6,13
3857270,Uruguay,Darwin Gabriel Núñez Ribeiro,11,21,32
3857270,Uruguay,Edinson Roberto Cavani Gómez,13,18,31
3857270,Uruguay,Facundo Pellistri Rebollo,9,13,22
3857270,Uruguay,Federico Santiago Valverde Dipetta,38,39,77
3857270,Uruguay,Guillermo Varela Olivera,23,23,46
