match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,most_involved_player,top_player_reliance,top_connection,top_connection_count,final_third_entries,advanced_from_group,reached_qf,stage_reached
3857263,Spain vs Germany,2022-11-27,group,Spain,Germany,1,1,D,578,126,15,0.6,Rodrigo Hernández Cascante,0.1574,Cascante → Ramos,32,28,1,0,Round of 16
3857263,Spain vs Germany,2022-11-27,group,Germany,Spain,1,1,D,291,107,16,0.4458,Antonio Rüdiger,0.1392,Rüdiger → Neuer,10,20,0,0,Group Stage
3857259,Cameroon vs Serbia,2022-11-28,group,Cameroon,Serbia,3,3,D,276,116,16,0.4833,Ngoran Suiru Fai Collins,0.1467,Tolo → Ndoubena,12,17,0,0,Group Stage
3857259,Cameroon vs Serbia,2022-11-28,group,Serbia,Cameroon,3,3,D,428,136,16,0.5667,Saša Lukić,0.1425,Tadić → Kostić,14,36,0,0,Group Stage
3857283,Belgium vs Morocco,2022-11-27,group,Belgium,Morocco,0,2,L,604,124,16,0.5167,Toby Alderweireld,0.1565,Vertonghen → Alderweireld,34,30,0,0,Group Stage
3857283,Belgium vs Morocco,2022-11-27,group,Morocco,Belgium,2,0,W,287,107,16,0.4458,Nayef Aguerd,0.1272,Mouh → Amallah,11,18,1,1,3rd Place
3857286,Qatar vs Ecuador,2022-11-20,group,Qatar,Ecuador,0,2,L,382,93,13,0.5962,Boualem Khoukhi,0.1675,Khoukhi → Fadlalla,24,25,0,0,Group Stage
3857286,Qatar vs Ecuador,2022-11-20,group,Ecuador,Qatar,2,0,W,432,108,14,0.5934,Jhegson Sebastián Méndez Carabalí,0.1657,Carabalí → Reyna,25,19,0,0,Group Stage
3857300,Argentina vs Saudi Arabia,2022-11-22,group,Argentina,Saudi Arabia,1,2,L,542,124,14,0.6813,Nicolás Hernán Otamendi,0.1524,Otamendi → Romero,18,35,1,1,Final
3857300,Argentina vs Saudi Arabia,2022-11-22,group,Saudi Arabia,Argentina,2,1,W,197,89,15,0.4238,Mohammed Kanoo,0.1421,Al-Tambakti → Al-Malki,6,13,0,0,Group Stage
3857299,South Korea vs Ghana,2022-11-28,group,South Korea,Ghana,2,3,L,499,119,14,0.6538,In-Beom Hwang,0.1575,Kim → Hwang,21,50,1,0,Round of 16
3857299,South Korea vs Ghana,2022-11-28,group,Ghana,South Korea,3,2,W,266,87,14,0.478,Thomas Teye Partey,0.1601,Amartey → Partey,14,15,0,0,Group Stage
3857293,Ghana vs Uruguay,2022-12-02,group,Ghana,Uruguay,0,2,L,384,111,15,0.5286,Thomas Teye Partey,0.1617,Partey → Samed,14,36,0,0,Group Stage
3857293,Ghana vs Uruguay,2022-12-02,group,Uruguay,Ghana,2,0,W,364,126,16,0.525,Federico Santiago Valverde Dipetta,0.1717,Dipetta → Olivera,13,38,0,0,Group Stage
3857291,Spain vs Costa Rica,2022-11-23,group,Spain,Costa Rica,7,0,W,1009,148,16,0.6167,Aymeric Laporte,0.1378,Cascante → Laporte,40,64,1,0,Round of 16
3857291,Spain vs Costa Rica,2022-11-23,group,Costa Rica,Spain,0,7,L,172,106,16,0.4417,Joel Nathaniel Campbell Samuels,0.1192,Mora → Samuels,6,11,0,0,Group Stage
3857281,Croatia vs Canada,2022-11-27,group,Croatia,Canada,4,1,W,411,108,16,0.45,Marcelo Brozović,0.1314,Modrić → Brozović,17,31,1,1,3rd Place
3857281,Croatia vs Canada,2022-11-27,group,Canada,Croatia,1,4,L,437,145,16,0.6042,Kamal Miller,0.1384,Vitoria → Johnston,12,42,0,0,Group Stage
3857280,Cameroon vs Brazil,2022-12-02,group,Cameroon,Brazil,1,0,W,254,90,14,0.4945,André-Frank Zambo Anguissa,0.1614,Mboka → Ebosse,9,31,0,0,Group Stage
3857280,Cameroon vs Brazil,2022-12-02,group,Brazil,Cameroon,0,1,L,512,138,16,0.575,Éder Gabriel Militão,0.1299,Nascimento → Militão,27,33,1,1,Quarter-final
3857279,France vs Australia,2022-11-22,group,France,Australia,4,1,W,680,127,15,0.6048,Dayotchanculle Upamecano,0.1581,Konaté → Upamecano,24,63,1,1,Final
3857279,France vs Australia,2022-11-22,group,Australia,France,1,4,L,394,115,16,0.4792,Aaron Mooy,0.1497,Behich → Rowles,20,21,1,0,Round of 16
3857262,South Korea vs Portugal,2022-12-02,group,South Korea,Portugal,2,1,W,309,110,14,0.6044,Woo-Young Jung,0.1537,Kim → Kim,11,24,1,0,Round of 16
3857262,South Korea vs Portugal,2022-12-02,group,Portugal,South Korea,1,2,L,534,137,16,0.5708,João Pedro Cavaco Cancelo,0.1339,Cancelo → Ferreira,18,52,1,1,Quarter-final
