match_id,year,team,total_players,eligible_players,targeted_player,targeted_efficiency_damage,targeted_progressive_capacity_damage,targeted_pass_involvement,targeted_betweenness,targeted_pass_involvement_rank,eligible_efficiency_damage_mean,eligible_efficiency_damage_std,eligible_progressive_damage_mean,targeted_excess_efficiency_damage,targeted_standardized_gap,targeted_to_random_ratio,targeted_damage_percentile,top1_top2_gap
7579,2018,Uruguay,14,14,Luis Alberto Suárez Díaz,0.0265392781316348,0.3733333333333333,54,0.013034188034188,1,7.112366251504909e-17,0.013385902561484567,0.14285714285714282,0.02653927813163473,1.9826289642953583,,100.0,0.007430997876857699
7580,2018,Argentina,14,14,Éver Maximiliano David Banega,0.0229166666666667,0.24,106,0.0209401709401709,3,-1.2390881971262907e-19,0.014546083378925946,0.14285714285714285,0.0229166666666667,1.5754527228867583,,100.0,0.0072916666666668
7580,2018,France,14,12,Paul Pogba,0.046423135464232,0.2439024390243902,72,0.1364316239316239,2,0.01024226281075635,0.017346241683402062,0.16463414634146337,0.03618087265347565,2.0858047128500297,4.532507739937971,100.0,0.021308980213089898
7581,2018,Croatia,15,15,Luka Modrić,0.0340406719717063,0.3157894736842105,145,0.0492216117216117,1,0.00014736221632781303,0.014088321134944964,0.1333333333333333,0.033893309755378485,2.405773507767992,230.99999999987438,100.0,0.015473032714411899
7581,2018,Denmark,15,15,Mathias Jørgensen Jatta,0.0180032733224223,0.2013888888888889,113,0.1000763125763125,2,3.9782991715734776e-17,0.012165359040358835,0.13333333333333328,0.018003273322422263,1.4798801467918887,,100.0,0.006137479541734901
7582,2018,Russia,15,14,Ilya Kutepov,0.0342560024468573,0.1506849315068493,45,0.102760334903192,3,0.004271076835689064,0.019817971794252615,0.14187866927592954,0.029984925611168237,1.5130168678443738,8.020460358056445,100.0,0.0068817862058420005
7582,2018,Spain,15,15,Francisco Román Alarcón Suárez,0.0246493837654059,0.3408239700374532,299,0.1247252747252747,2,8.604228440844963e-17,0.015591956079765488,0.13333333333333333,0.024649383765405812,1.580903873722081,,100.0,0.006374840628984298
7583,2018,Brazil,14,14,Fágner Conserva Lemos,0.0214233841684821,0.2111111111111111,51,0.0806623931623931,8,0.0007262164124909083,0.018625008864534696,0.14285714285714282,0.020697167755991192,1.1112568002800929,29.50000000000042,100.0,0.005083514887436299
7583,2018,Mexico,14,14,Carlos Joel Salcedo Hernández,0.0217391304347825,0.219298245614035,112,0.0221153846153846,1,-7.211493307275012e-17,0.015733627488168346,0.1428571428571428,0.021739130434782573,1.3816985594155164,,100.0,0.0
7584,2018,Belgium,13,13,Axel Witsel,0.0179257362355953,0.2027972027972027,110,0.2309974747474747,4,-2.4019248128909638e-17,0.015940972596656444,0.1538461538461538,0.017925736235595326,1.1245070604634988,,100.0,0.0
